year,Airlines,Total Flights,Carrier Delay,Weather Delay,NAS Delay,Security Delay,Late Aircraft Delay,Cancelled Flights,Diverted Flights,Total Delays,On-Time Flights
2019,American Airlines,522676,30738,3534,34144,157,37729,11321,1553,106302,403500
2019,Delta Airlines,524423,22410,2509,31884,53,22483,994,1365,79339,442725
2019,Southwest Airlines,496347,27361,1645,20248,273,35910,8580,1198,85437,401132
2019,United Airlines,352955,14963,2733,32577,13,25282,2805,1289,75568,273293
2020,American Airlines,467442,16556,1578,17006,197,11290,27697,784,46627,392334
2020,Delta Airlines,456450,13171,1057,16532,89,7844,21874,632,38693,395251
2020,Southwest Airlines,528219,10917,648,9190,80,9285,43144,572,30120,454383
2020,United Airlines,258770,6335,718,9243,1,5975,18499,360,22272,217639
2021,American Airlines,590611,34876,3989,25157,547,30411,12772,1739,94980,481120
2021,Delta Airlines,585041,26880,2218,20788,246,15308,2952,1033,65440,515616
2021,Southwest Airlines,582478,45656,1490,22143,380,51231,13050,1392,120900,447136
2021,United Airlines,359185,18466,2480,21058,13,16178,4978,866,58195,295146
2022,American Airlines,696275,47255,5813,39491,388,53144,21044,1914,146091,527226
2022,Delta Airlines,685095,42539,3258,30289,80,30213,11425,1298,106379,565993
2022,Southwest Airlines,697379,57550,1843,29737,460,71207,24046,1586,160797,510950
2022,United Airlines,500989,30752,2547,28980,14,28863,9840,1305,91156,398688
2023,American Airlines,727637,46639,5464,43763,427,63324,7926,1982,159617,558112
2023,Delta Airlines,753370,45181,3407,33891,91,37754,7957,1611,120324,623478
2023,Southwest Airlines,771570,46657,2277,39027,498,78651,8344,1823,167110,594293
2023,United Airlines,580022,37432,2980,38306,12,34705,8382,1583,113435,456622
2024,American Airlines,309928,21321,3130,22275,258,33032,4562,992,80016,224358
2024,Delta Airlines,306359,17204,1510,16961,44,15437,766,610,51156,253827
2024,Southwest Airlines,315623,18821,897,17427,185,32115,3741,590,69445,241847
2024,United Airlines,242357,12824,1537,17773,3,14940,5559,669,47077,189052
